agent_id,time,agent_type,origin_1,destination_1,waiting_time_1,destination_2,waiting_time_2
9565,8:09:08,51221202,NF0077,ND0011,72,ND0020,72
8327,8:09:10,81221202,NU0253,ND0027,72,ND0015,72
2548,8:09:18,D1321201,NF0159,ND0020,0,None,0
7757,8:09:26,92221202,NF0159,ND0021,72,ND0013,72
6475,8:09:28,71221201,NU0100,ND0015,0,None,0
7666,8:09:28,B1221202,NF0159,ND0026,72,ND0014,72
9398,8:09:36,61222202,NU0100,ND0008,72,ND0004,72
2716,8:09:37,81221201,NF0159,ND0024,0,None,0
7737,8:09:37,71221202,NF0159,ND0021,72,ND0003,72
9425,8:09:37,91221202,NU0100,ND0001,72,ND0008,72
3707,8:09:38,91221201,NU0253,ND0015,0,None,0
2207,8:09:39,72222201,NF0159,ND0016,0,None,0
3992,8:09:44,41221201,NU0253,ND0019,0,None,0
1258,8:09:45,51271211,NU0190,ND0024,0,None,0
7077,8:09:45,91221202,NU0190,ND0017,72,ND0007,72
8948,8:09:48,71221202,NF0177,ND0009,72,ND0008,72
4179,8:09:49,81222201,NU0253,ND0020,0,None,0
4909,8:09:51,51221201,NU0253,ND0027,0,None,0
7724,8:09:51,61222202,NF0159,ND0014,72,ND0009,72
468,8:09:52,92521201,NU0190,ND0013,0,None,0
9571,8:09:53,912K1202,NF0077,ND0011,72,ND0002,72
9271,8:09:55,A1321202,NU0091,ND0026,72,ND0011,72
9263,8:09:57,71321202,NU0091,ND0017,72,ND0016,72
6009,8:09:58,C1222201,NU0091,ND0008,0,None,0
8355,8:09:59,62321202,NU0253,ND0020,72,ND0022,72
864,8:10:01,F2322201,NU0190,ND0019,0,None,0
474,8:10:04,62121201,NU0190,ND0013,0,None,0
8335,8:10:06,61321202,NU0253,ND0012,72,ND0020,72
2348,8:10:10,82221201,NF0159,ND0018,0,None,0
4911,8:10:10,82221201,NU0253,ND0027,0,None,0
7715,8:10:11,81321202,NF0159,ND0010,72,ND0022,72
7050,8:10:12,61221202,NU0190,ND0008,72,ND0013,72
607,8:10:18,622F1101,NU0190,ND0016,0,None,0
1613,8:10:21,61228201,NU0190,ND0027,0,None,0
8162,8:10:21,72321202,NU0253,ND0012,72,ND0008,72
5518,8:10:24,61221201,NF0177,ND0020,0,None,0
3541,8:10:26,61221201,NU0253,ND0012,0,None,0
8382,8:10:26,A2228202,NU0253,ND0024,72,ND0026,72
1370,8:10:31,81221201,NU0190,ND0025,0,None,0
9238,8:10:32,922F1102,NU0091,ND0018,72,ND0022,72
1829,8:10:33,A2222201,NF0159,ND0002,0,None,0
8315,8:10:33,82461022,NU0253,ND0008,72,ND0012,72
5755,8:10:34,81221201,NF0177,ND0025,0,None,0
7653,8:10:35,42422202,NF0159,ND0008,72,ND0007,72
8990,8:10:35,41221202,NF0177,ND0018,72,ND0015,72
3405,8:10:41,82221201,NU0253,ND0009,0,None,0
5697,8:10:41,61221201,NF0177,ND0024,0,None,0
8223,8:10:41,612B1012,NU0253,ND0021,72,ND0012,72
9242,8:10:43,41221202,NU0091,ND0025,72,ND0008,72
5250,8:10:46,62221201,NF0177,ND0012,0,None,0
6914,8:10:47,812F1102,NU0190,ND0022,72,ND0026,72
3240,8:10:50,71221201,NU0253,ND0005,0,None,0
8962,8:10:54,C2861022,NF0177,ND0012,72,ND0014,72
359,8:10:56,62221201,NU0190,ND0011,0,None,0
3995,8:10:57,41221201,NU0253,ND0019,0,None,0
1836,8:10:59,F29B1011,NF0159,ND0002,0,None,0
3608,8:11:02,72428201,NU0253,ND0013,0,None,0
4638,8:11:02,52221201,NU0253,ND0025,0,None,0
5477,8:11:06,I2961021,ND0019,NF0177,0,None,0
7672,8:11:09,72222202,NF0159,ND0009,72,ND0025,72
3981,8:11:10,51221201,NU0253,ND0019,0,None,0
9007,8:11:14,41741202,NF0177,ND0014,72,ND0003,72
604,8:11:15,F1A61021,NU0190,ND0016,0,None,0
5655,8:11:19,B2221201,NF0177,ND0023,0,None,0
8308,8:11:19,B2222202,NU0253,ND0015,72,ND0010,72
7619,8:11:21,92321202,NF0159,ND0007,72,ND0001,72
7772,8:11:22,82221202,NF0159,ND0004,72,ND0010,72
2714,8:11:24,91228201,NF0159,ND0024,0,None,0
7769,8:11:25,71223202,NF0159,ND0022,72,ND0010,72
4256,8:11:26,91221201,NU0253,ND0021,0,None,0
954,8:11:27,I2961021,ND0019,NU0190,0,None,0
1788,8:11:29,B1221201,NF0159,ND0001,0,None,0
6591,8:11:29,42741201,NU0100,ND0025,0,None,0
3620,8:11:31,712K1201,NU0253,ND0013,0,None,0
4632,8:11:31,61221201,NU0253,ND0025,0,None,0
5154,8:11:32,822F1101,NF0177,ND0006,0,None,0
1899,8:11:33,61228201,NF0159,ND0005,0,None,0
608,8:11:34,719B1011,NU0190,ND0016,0,None,0
1267,8:11:38,71228201,NU0190,ND0024,0,None,0
3157,8:11:38,41421201,NU0253,ND0002,0,None,0
4451,8:11:41,62228201,NU0253,ND0023,0,None,0
7732,8:11:46,81221202,NF0159,ND0015,72,ND0025,72
7620,8:11:48,A2321202,NF0159,ND0001,72,ND0024,72
7669,8:11:53,91121202,NF0159,ND0027,72,ND0013,72
2073,8:11:57,A2221201,NF0159,ND0012,0,None,0
6531,8:11:57,72321201,NU0100,ND0018,0,None,0
5957,8:11:59,51221201,NU0091,ND0003,0,None,0
9233,8:11:59,91221202,NU0091,ND0011,72,ND0027,72
2955,8:12:04,91221201,NF0159,ND0027,0,None,0
9004,8:12:05,A1221202,NF0177,ND0010,72,ND0013,72
2897,8:12:08,52221201,NF0159,ND0026,0,None,0
7632,8:12:11,71222202,NF0159,ND0018,72,ND0001,72
790,8:12:12,D1463021,NU0190,ND0018,0,None,0
